   1 AD authentication	VPNs
   1 AD authentication	web mail
   1 AD domain	user account authentication
   1 ADD	the form
   1 AMAP SDK Check	phone screen
   1 APAC region	organizations
   1 API calls	CreateProcess
   1 API calls	WinExec
   1 APIs	HttpOpenRequest
   1 APIs	OpenSCManager
   1 APIs	WSAStartup
   1 APT	Crouching Yeti
   1 APT	Darkhotel distribute
   1 APT	SabPub
   1 APT	a group
   1 APT	tools
   1 APT actors	Pawn Storm
   1 APT adversaries	the intrusion
   1 APT campaigns	Stuxnet
   1 APT groups	APT1
   1 APT groups	Nitro
   1 APT groups	instances
   1 APT incidents	Aurora
   1 APT incidents	Night Dragon
   1 APT intrusions	the one
   1 APT malware	Etumbot
   1 APT malware	Gh0st RAT
   1 APT malware	IXESHE malware
   1 APT malware	others
   2 APT activity	Operation
   1 APT1 affiliation	SH offering
   1 APT1 indicators	IP
   1 APT1 indicators	domain names
   1 APT10	the sustained targeting
   1 APT12	APT group
   1 APT12	media exposure
   1 APT28	this group
   1 APT28 malware	the family
   1 APT32	FireEye
   1 APT32	targets
   1 APT32 activity	the malware families
   1 APTs	Naikon distribute
   1 APTs	tools
   1 ASLASLKK223	the payload
   1 ASLASLKK2231	the payload
   1 ASLR bypass	this technique
   1 Acquire network information	DNS
   1 Acquire network information	IP
   1 Acquire network information	proxies
   1 ActiveX controls	the control
   2 ActiveX controls	controls
   1 Activity Malware	BlackPoS
   1 Actors	Russia
   1 Administrator	commands
   1 Aerospace	European aerospace companies
   1 Afghan Government websites	the following
   1 Africa	Ghana
   1 Africa	Senegal
   1 Africa	Tunisia
   1 AgentBase	systems
   1 An indirect relationship	the completion
   1 Android permissions	access
   1 Android service	the background
   1 Anyone	a business
   1 Apple	time
   1 Arabic	the name
   1 Arabic text	cartoons
   1 Arabic text	photographs
   1 Asia	Taiwan
   1 Attacks	Stuxnet viruses
   1 Attacks	the flame
   1 BACKBEND	a similar capacity
   1 BACKSPACE	retrieval
   1 BADNEWS	Investigations
   1 BASE64	the registry
   1 BASH script sh	file
   1 BKDR  RPKNUF	Trend Micro
   1 BKDR DUOJEEN	Trend Micro
   1 BKDR ELISE	this campaign
   1 BKDR SLOTH	Trend Micro
   1 BKDR SLOTH	samples
   2 BS2005	the same weak encryption algorithm
   1 Babar	commands
   1 BackDoor	the targeted attack
   1 Backdoor	FireEye
   1 Backdoor	G DATA security
   1 Backdoor	Symantec
   1 Backdoor	backdoors
   1 Backdoor	malware
   1 Backdoor	solutions
   1 Backdoor	this file
   1 Backdoor	this malware
   2 Backdoor	this payload
   3 Backdoor	this threat
   1 Bandook	None
   1 Base64 parameters	the infected computer
   1 Bellingcat researchers	Eliot Higgins
   1 Black Vine	the attack
   1 BlackEnergy	this paper
   1 BlackWorm tool	an original
   1 Blackfly	this activity
   1 Bloomberg news story	Text
   1 Bloomberg news story	White Paper International politics
   1 Bunny	API name obfuscation
   1 Butterfly attackers	filenames
   1 ByeByeShell	this family
   1 C	Linux Turla module
   1 C	MANAGE
   1 C	The time zone
   1 C	U00P
   1 C	addition
   1 C	analysis paper
   1 C	attackers
   1 C	hosts
   1 C	internal network
   1 C	logs harder
   1 C	machines
   1 C	the local time zone
   1 C Program	the hard drive
   1 C code	d
   1 C file	the form
   1 C server	modules
   1 C2	FQDNs
   1 C2 IPs	data set
   1 C2 Re	other code Email
   1 C2 addresses	FQDNs
   1 C2 channel	DNS Tunneling
   1 C2 servers	domains
   1 C2 servers	the fact
   1 C2s	Sofacy group
   1 CAB file	the attack
   1 CEC	a data leak
   1 CEC	a system compromise
   1 CEC	data destruction
   1 CGI path consisting	a form
   1 CIS countries	Belarus
   1 CIS countries	Georgia
   3 CIS countries	Russia
   1 CMSTAR	the same mutex
   1 CNI	telecoms
   1 COMpfun	COM Object hijacking
   1 COMpfun	the same persistence mechanism
   1 CPL file	the attachment
   1 CPL file	this case
   1 Caucasus	the country
   1 China	Australia
   1 China	Brazil
   1 China	Guangdong
   1 China	Hong Kong
   1 China	Iran
   1 China	Panda
   1 China	a complete failure
   1 China	defence data
   1 China	development
   1 China	parts
   1 Chinese actor	authors
   1 Chinese business hours	a two
   1 Citizen Lab colleagues	Adam Senft
   1 Citizen Lab colleagues	Irene Poetranto
   1 Citizen Lab colleagues	Masashi Crete
   1 Citizen Lab colleagues	Masashi Nishihata
   1 Citizen Lab colleagues	Ned Moran
   2 Citizen Lab colleagues	Claudio Guarnieri
   2 Citizen Lab colleagues	Ron Deibert
   2 Citizen Lab colleagues	Sarah McKune
   2 Clinton presidency	foreign
   1 Clues	language settings
   1 Cluster	the same tasking
   1 Codoso	researchers
   1 Collect system information	OS
   1 Collect system information	hostname
   1 Collect system information	presence
   1 Collect system information	username
   1 Command	Twitter
   1 Command	servers
   1 CommandData structure	the command field
   1 Commands	GetScreenShot
   1 Companies	General Electric
   1 Companies	Goodrich
   1 Companies	Honeywell
   1 Companies	Parker Aerospace
   1 Concepts	computer security
   1 Concepts	information security
   1 Console	Run
   1 Control Channels	Social Network Sites
   1 CosmicDuke	the login credentials
   1 CosmicDuke persistence	techniques
   1 CozyDuke	some industry reports
   1 CozyDuke	the rest
   1 CozyDuke dropper	the archive
   1 Cpu	files
   1 Cs	pal4u
   1 Cyber Arabs	a series
   1 Cyber Attack	Operation Night Dragon
   1 Cyber attacks	an incident
   1 DDOS operations	the form
   1 DEEP PANDA	CrowdStrike
   1 DHS effort	initiative
   1 DLL	This sample
   1 DLL	the main component
   1 DLL file	CozyDuke
   1 DLL file	RunExeCmdSingle component
   1 DLL file	The main payload
   1 DLL files	the form
   1 DNS domains	use
   1 DNS streams	Aurora Botnet
   1 DarkComet	ASCII representations
   1 DarkShell DDOS trojan	file
   1 DarkShell ddos bot	The last sample
   1 Data	credentials
   1 Debuggers	IDA
   1 Debuggers	Ollydbg
   1 Delphi RAT projects	Cerberus
   1 Delphi RAT projects	CyberGate
   1 Delphi RAT projects	SpyNet
   1 Derusbi Trojan	this sample
   1 Detatch Checkbox Specifies	commands
   1 Development Manager	Liam O Murchu
   1 Development Manager	Software Engineer
   1 Dexter	JackPoS
   1 Dexter	vSkimmer
   1 Documents	DOC files
   1 Documents	HWP
   1 Documents	XLS
   1 DownExecute	the same domain names
   1 Dragonfly	Symantec
   1 DropIt	a binder Trojan
   1 Dukes	Cozyduke
   1 Dukes	OnionDuke
   1 Dukes	SeaDuke
   1 Dynamic DNS provider	duia
   1 E	Same
   1 EDR tool	RSA NetWitness Endpoint
   1 ELECTRUM	CRASHOVERRIDE
   1 ELIRKS	the same algorithm
   1 ENERGETIC BEAR	CrowdStrike
   1 EU organizations	the establishment
   1 EXIF metadata	the date
   1 English words	none
   1 English words	this research
   1 Estonia	the operational information
   1 Etumbot malware	ASERT
   1 European security organizations	NATO
   1 ExPetr	this threat
   1 Executive Summary Diplomatic missions	ministries
   1 Exploit	this particular malicious file
   3 Exploit	Kaspersky Lab products
   1 FANCY BEAR	Coopers
   1 FANCY BEAR	CrowdStrike
   1 FIN7	FireEye
   1 FLYING KITTEN Today	Actor
   1 FTP server	the information
   1 Facilitates file system access	directory
   1 Facilitates filesystem access	directory
   1 FakeM	FakeM samples
   1 Farfli variant	the malware
   1 Farfli variant	this case
   1 Features	form grabber
   1 Features	proxy
   1 Features	rootkit
   1 February	the content
   1 Feeds	Cyberkov
   1 Feeds	PassiveTotal
   1 Figure	high infection rates
   1 Figure	platform
   1 Figure	the network
   1 FinFisher customer	s DGFI
   1 FinFisher product	FinFly Web
   1 FinFisher product	server
   1 FinFly Web	the sample
   1 FinSpy	Identification
   1 Financial organizations	banks
   1 Financial organizations	funds
   1 FireEye report	the use
   1 Flash Player	the use
   1 Flash video file	file
   1 Flash video file	the decoy
   1 Flash video file	the usual dull PDF
   1 Fully functional remote desktop display	the ability
   1 GET	the form
   1 GGE	representatives
   1 GRIZZLY STEPPE	RIS
   1 Gamaredon	a few antivirus vendors
   1 Gather system information	details
   1 Gen	XOR encryption scheme
