   1 0	Yes
   1 1990s	part
   1 A	log files
   1 A disclosure	the term
   1 A form	trojan
   1 A main backdoor module	several component groups
   1 A mutex	Windows object
   1 A rogue Tranchulas	employee
   1 A wide range	apps
   1 AD	marker number
   1 AD domain	servers
   1 AEP	technologies
   1 AES	algorithms
   1 AES	strong encryption algorithms
   1 AES encryption	initialization vector
   1 ANGELS	weapons
   1 AOL	platforms
   1 API name obfuscation	Bunny
   1 APIs	strings
   1 APT	actors
   1 APT command	malicious network activity
   1 APT group	APT12
   1 APT groups	actors
   1 APT groups	attackers
   1 APT groups	weapons
   2 APT campaigns	part
   1 APT1	APT groups
   1 APT1	the culprit
   1 APT10	a China
   1 APT10	actors
   1 APT28	a suspected Russian government
   1 APT28	code names
   1 APT30 Leverages Major Political Transition	Phishing Lure Content
   1 APTs	persistence mechanisms
   1 ARM	architectures
   1 ASCII	protection measures
   1 ASCII representations	DarkComet
   1 ASEAN summits	events
   1 ASERT	Etumbot malware
   2 ASP	languages
   1 ASPX	languages
   1 AURORA PANDA	adversaries
   1 Actor	FLYING KITTEN Today
   1 Adam Senft	Citizen Lab colleagues
   1 Adobe 	applications
   1 Adobe Flash	plugins
   1 Adobe Flash	vulnerable application
   1 Adobe Flash Player	programs
   1 Adobe Flash Player	vendors
   1 Adobe Reader	popular software
   1 Adobe Reader	s client side software
   1 Adobe Reader	s machine
   1 Adobe Reader Kaspersky Lab products	applications
   2 Adobe Flash Player	applications
   2 Adobe Reader	legitimate software applications
   2 Adobe Reader	popular productivity applications
   1 Advantech WebAccess	HMI applications
   1 Adversary	activities
   1 Afghanistan	a context
   1 Afghanistan	individuals
   1 Afghanistan	part
   3 Afghanistan	countries
   1 Africa	further afield
   1 Ahmed Mansoor	UAE dissidents
   1 AhnLab Policy Center	a propagation method
   1 Al Qaeda	groups
   1 All sort	networks
   1 American industry	a whole
   1 American power	a dangerous counter
   1 Ammy Admin	programs
   1 Amnesty International	rights organizations
   1 Andrew Blaich	investigation
   1 Android	platforms
   1 Android Version	the target
   1 Andromeda	loaders
   1 Angler	kits
   1 Angola	customers
   1 Angola	points
   1 Anonymous	actors
   1 Anonymous	cyber terrorists
   1 Anonymous	groups
   1 Anonymous	hacktivists
   1 Anonymous	political hacktivist groups
   1 Another form	non
   1 Anti	methods
   1 Apache	the site
   1 Apache	web server software
   1 Apache	web services
   1 AppLocker	features
   1 Appendix F Personas	Persona
   1 Apple	IT companies
   1 Apple	part
   1 Apple	several major technology companies
   1 Apple	whales
   1 Apple Mac OS X	JRE
   1 Apple Pay	solutions
   2 Apple	companies
   1 Application Data directory	wab32res
   1 Application Data directory	win32res
   1 Applocker	tools
   1 April campaign	an 
   1 Arabic	Unicode languages
   1 Arabic themes	a decoy
   1 ArcomRAT	campaigns
   1 Argentina	the globe
   1 Armenia Turkey Lithuania Belarus Malaysia Middle East Ukraine Slovakia Kazahstan Spain United Kingdom Argentina Japan Hong Kong India Taiwan Ghana European Union Institutions NATO Affiliated Targets Targets	regions
   1 Asia	regions
   1 Aspack	packers
   1 Aurora	APT incidents
   1 Aurora	campaigns
   1 Aurora Botnet	DNS streams
   1 Australia	China
   1 Austria	countries
   1 Authors Ryan Sherstobitoff	threats
   1 AutoIt Backdoor	sets
   1 Axiom	stages
   1 Axiom activity	groups
   1 Axiom targets	a means
   1 Azzy	Linux targets
   1 Azzy	tools
   1 BADNEWS	this operation
   1 BERSERK BEAR	cryptonyms
   1 BLIZKO	banking applications
   1 BOULDER BEAR	cryptonyms
   1 BS2005	HTTP REPLY
   1 Back Orifice	online
   1 Bahrain	actors
   1 Bahrain	countries
   1 Baidu	cloud computing platforms
   1 Baltic states	a threat
   1 Bangladesh	countries
   1 Bank	organizations
   1 Barents Sea shelf	areas
   1 BeeBus	this region
   1 Beijing Topsec	a private organization
   1 Belarus	CIS countries
   1 Belarus	locations
   2 Belarus	countries
   1 Belgium	the globe
   2 Belgium	countries
   1 Below	Python script
   1 BiFrost	Trojans
   1 Bill Marczak	document preparation
   1 Billion	a result
   1 Bing	Search engines
   1 Bing	websites
   1 Bitsadmin	administration tools
   1 Black Gold	companies
   1 Black Vine	Other cyberespionage groups
   1 BlackEnergy	components
   1 BlackEnergy2	malware
   1 BlackPoS	Activity Malware
   1 BlackShades	trojans
   1 Blackberry	platforms
   1 Blackenergy	intelligence
   1 Blackenergy	malware
   1 Blaster	outbreaks
   1 Blogger	sites
   1 Blogs	websites
   1 Blowfish	algorithms
   1 Bluenoroff	Kaspersky Lab codename
   1 Bluenoroff	a subgroup
   1 Bluetooth	intelligence
   1 Boolean	different value types
   1 Bowen Press content	lures
   1 Brandishing Cyberattack Capabilities	RAND monographs
   1 Brazil	China
   1 Bronze Soldier monument	World War II Soviet War memorial
   1 Brunei	countries
   1 Bulgaria	countries
   1 Bureau	Unit
   2 Butterfly	corporate espionage groups
   1 C	Prikormka malware
   1 C	a default location
   1 C	a language
   1 C	changes
   1 C	common system paths
   1 C	communication functions
   1 C	domains
   1 C	indicators
   1 C	information
   1 C	languages
   1 C	paths
   1 C infrastructure	Type T
   1 C server	MachBot controller
   1 C server	Windows desktop application
   1 C server	reports
   1 C servers	tasks
   1 C2	Targeted Exploitation
   1 C2	indicators
   1 C2	samples
   1 C2 IPs	things
   1 C2 Screenshot	samples
   1 C2 domains	domains
   1 C2 domains	variables
   1 C2 response	a token
   1 C2 server	a specific user Close
   1 C2 server	an encryption key
   1 C2 server	http parameters
   1 C2 server	part
   1 C2 server	purposes
   1 C2 server address	a command line argument
   1 C2 servers	components
   1 C375h	payloads
   1 CCTV	physical security devices
   1 CDN cloud	the reflection server
   1 CERNET	IPv6 network
   1 CERT	organizations
   1 CERT coordination	bodies
   1 CHARMING KITTEN	adversaries
   1 CICIR	tanks
   1 CNN	media outlets
   1 COM	Microsoft technologies
   1 COM Object hijacking	COMpfun
   1 CORESHELL	beacons
   1 CRASHOVERRIDE	ELECTRUM
   1 CSDBuildNumber	registry
   1 CSDN	sites
   1 CSS	files
   1 CVE	Windows
   2 CVE	exploits
   1 Cair3x	members
   1 CallWindowProcW	functions
   2 Cambodia	countries
   1 Camellia	encryption algorithm
   1 Campaign ID	values
   1 Canada	countries
   1 Canada	nations
   1 Carberp	public code depositories
   1 Carbon	Turla group
   1 Carla Bruni	a lure
   1 Center	sites
   1 Central Sulawesi	regions
   1 Cerberus	Delphi RAT projects
   1 Cerberus	addition RATs
   1 Certificaciones De Pagos Nominas Parafiscales	names
   1 ChChes	families
   1 Chad	points
   1 ChangeServiceConfig2A	names
   1 Chats	common communication
   1 Chechnya	Islamic issues
